year_month,korea_import_usd_per_kg,arabica_otm_usd_per_kg,usdkrw_avg,import_krw_per_kg,arabica_krw_per_kg
2024-01,3.881,4.495,1327.1,5150.4751,5965.3144999999995
2024-02,3.942,4.603,1331.56,5249.00952,6129.170679999999
2024-03,4.147,4.606,1331.98,5523.721060000001,6135.09988
2024-04,4.246,5.288,1369.83,5816.298180000001,7243.66104
2024-05,4.522,5.122,1364.17,6168.77674,6987.278740000001
2024-06,4.786,5.476,1380.63,6607.69518,7560.32988
2024-07,5.187,5.668,1382.89,7173.050430000001,7838.220520000001
2024-08,5.161,5.764,1351.94,6977.36234,7792.582160000001
2024-09,5.248,6.146,1331.5,6987.712,8183.398999999999
2024-10,5.496,6.102,1361.64,7483.573440000001,8308.727280000001
2024-11,5.635,6.723,1394.47,7857.83845,9375.02181
2024-12,5.851,7.587,1438.09,8414.264589999999,10910.78883
2025-01,5.793,7.803,1452.3,8413.1739,11332.2969
2025-02,6.038,9.028,1445.44,8727.56672,13049.432320000002
2025-03,6.8,8.911,1458.76,9919.568,12999.01036
2025-04,7.591,8.662,1442.65,10951.15615,12496.234300000002
2025-05,7.976,8.765,1388.74,11076.59024,12172.306100000002
2025-06,7.876,8.006,1366.26,10760.663760000001,10938.27756
2025-07,7.643,6.983,1377.96,10531.74828,9622.294679999999
2025-08,7.684,8.062,1390.35,10683.4494,11209.001699999999
2025-09,7.321,8.809,1393.09,10198.811889999999,12271.729809999999
2025-10,7.424,8.902,1423.82,10570.43968,12674.845639999998
2025-11,7.168,9.032,1459.86,10464.276479999999,13185.45552
2025-12,7.205,8.387,1466.82,10568.4381,12302.21934
2026-01,7.082,8.023,1457.21,10319.96122,11691.19583
2026-02,7.099,7.085,1448.23,10280.984770000001,10260.70955
2026-03,7.398,7.366,1490.88,11029.53024,10981.82208
