country_code,country,total_weight_kg,total_value_usd,share_pct
BR,브라질,130387933,803413497,33.9
VN,베트남,64091576,291823498,16.7
CO,콜롬비아,63364889,436183575,16.5
ET,에티오피아,47118604,321816753,12.2
GT,과테말라,16901205,121691984,4.4
IN,인도,13420221,69871572,3.5
HN,온두라스,12549905,72916974,3.3
PE,페루,9059064,51391335,2.4
KE,케냐,6292500,45469197,1.6
ID,인도네시아,5233279,34286581,1.4
CR,코스타리카,4155674,32861997,1.1
UG,우간다,3330404,19626656,0.9
PG,파푸아 뉴기니,2560521,16613288,0.7
TZ,탄자니아,1749419,10923967,0.5
SV,엘살바도르,1017642,7812138,0.3
NI,니카라과,935376,7204443,0.2
LA,라오스,728864,5632124,0.2
CN,중국,625658,3841500,0.2
RW,르완다,434581,3396688,0.1
PA,파나마,188796,7309118,0.0
BO,볼리비아,124989,1041794,0.0
MX,멕시코,119286,1188650,0.0
TL,티모르,111292,732268,0.0
YE,예맨,69022,1324793,0.0
BI,부룬디,55486,382244,0.0
EC,에쿠아도르,40404,1124245,0.0
CM,카메룬,34931,244323,0.0
TH,태국,32959,336080,0.0
MM,미얀마,24156,139461,0.0
CA,캐나다,12369,36325,0.0
US,미국,10325,621985,0.0
JM,자마이카,9937,471852,0.0
MG,마다카스카르,5116,15742,0.0
CD,콩고민주공화국,2524,29823,0.0
DO,도미니카 공화국,2239,19457,0.0
NP,네팔,1931,21147,0.0
MW,말라위,947,6954,0.0
DM,도미니카,600,4666,0.0
TW,대만,509,26518,0.0
GB,영국,487,41038,0.0
MY,말레이시아,430,9345,0.0
SG,싱가포르,275,2247,0.0
CH,스위스,257,4235,0.0
PH,필리핀,242,5566,0.0
JP,일본,84,3527,0.0
DE,독일,80,931,0.0
NO,노르웨이,80,1523,0.0
ZA,남아프리카공화국,79,1045,0.0
NL,네덜란드,68,1259,0.0
SE,스웨덴,66,1051,0.0
SA,사우디아라비아,57,265,0.0
HK,홍콩,51,3690,0.0
AU,호주,46,602,0.0
BE,벨기에,33,316,0.0
AE,아랍에미리트 연합,31,306,0.0
LR,라이베리아,31,15,0.0
OM,오만,28,1072,0.0
NG,나이지리아,24,58,0.0
PS,팔레스타인 해방기구,15,2379,0.0
FR,프랑스,8,1208,0.0
ZM,잠비아,7,65,0.0
IT,이탈리아,7,95,0.0
GN,기니,5,10,0.0
PL,폴란드,3,137,0.0
AT,오스트리아,3,33,0.0
GF,불령 가이아나,3,20,0.0
KH,캄보디아,3,52,0.0
CG,콩고,3,37,0.0
CI,코트디봐르,3,61,0.0
AG,안티가 바부다,2,20,0.0
GH,가나,2,18,0.0
BW,보츠와나,2,35,0.0
ES,스페인,2,40,0.0
DZ,알제리,1,2,0.0
AO,앙골라,1,18,0.0
VE,베네주엘라,1,17,0.0
LB,레바논,1,2,0.0
EE,에스토니아,1,25,0.0
SH,세인트 헬레나,1,67,0.0
LV,라트비아,1,11,0.0
FM,마이크로네시아,1,13,0.0
TR,튀르키예,0,7,0.0
BZ,벨리제,0,10,0.0
LK,스리랑카,0,2,0.0
JO,요르단,0,6,0.0
