year_month,korea_import_usd_per_kg,arabica_otm_usd_per_kg,robusta_usd_per_kg
2024-01,3.881,4.495,3.266
2024-02,3.942,4.603,3.378
2024-03,4.147,4.606,3.656
2024-04,4.246,5.288,4.27
2024-05,4.522,5.122,4.111
2024-06,4.786,5.476,4.505
2024-07,5.187,5.668,4.73
2024-08,5.161,5.764,4.733
2024-09,5.248,6.146,5.345
2024-10,5.496,6.102,4.892
2024-11,5.635,6.723,4.985
2024-12,5.851,7.587,5.239
2025-01,5.793,7.803,5.4
2025-02,6.038,9.028,5.799
2025-03,6.8,8.911,5.681
2025-04,7.591,8.662,5.435
2025-05,7.976,8.765,5.232
2025-06,7.876,8.006,4.326
2025-07,7.643,6.983,3.685
2025-08,7.684,8.062,4.384
2025-09,7.321,8.809,4.648
2025-10,7.424,8.902,4.741
2025-11,7.168,9.032,4.736
2025-12,7.205,8.387,4.194
2026-01,7.082,8.023,4.239
2026-02,7.099,7.085,3.959
2026-03,7.398,7.366,3.897
