year_month,usdkrw_avg,n_obs,source
2023-12,1297.43,1,"ECB reference rate (Frankfurter API), daily -> monthly avg"
2024-01,1327.1,22,"ECB reference rate (Frankfurter API), daily -> monthly avg"
2024-02,1331.56,21,"ECB reference rate (Frankfurter API), daily -> monthly avg"
2024-03,1331.98,20,"ECB reference rate (Frankfurter API), daily -> monthly avg"
2024-04,1369.83,21,"ECB reference rate (Frankfurter API), daily -> monthly avg"
2024-05,1364.17,22,"ECB reference rate (Frankfurter API), daily -> monthly avg"
2024-06,1380.63,20,"ECB reference rate (Frankfurter API), daily -> monthly avg"
2024-07,1382.89,23,"ECB reference rate (Frankfurter API), daily -> monthly avg"
2024-08,1351.94,22,"ECB reference rate (Frankfurter API), daily -> monthly avg"
2024-09,1331.5,21,"ECB reference rate (Frankfurter API), daily -> monthly avg"
2024-10,1361.64,23,"ECB reference rate (Frankfurter API), daily -> monthly avg"
2024-11,1394.47,21,"ECB reference rate (Frankfurter API), daily -> monthly avg"
2024-12,1438.09,20,"ECB reference rate (Frankfurter API), daily -> monthly avg"
2025-01,1452.3,22,"ECB reference rate (Frankfurter API), daily -> monthly avg"
2025-02,1445.44,20,"ECB reference rate (Frankfurter API), daily -> monthly avg"
2025-03,1458.76,21,"ECB reference rate (Frankfurter API), daily -> monthly avg"
2025-04,1442.65,20,"ECB reference rate (Frankfurter API), daily -> monthly avg"
2025-05,1388.74,21,"ECB reference rate (Frankfurter API), daily -> monthly avg"
2025-06,1366.26,21,"ECB reference rate (Frankfurter API), daily -> monthly avg"
2025-07,1377.96,23,"ECB reference rate (Frankfurter API), daily -> monthly avg"
2025-08,1390.35,21,"ECB reference rate (Frankfurter API), daily -> monthly avg"
2025-09,1393.09,22,"ECB reference rate (Frankfurter API), daily -> monthly avg"
2025-10,1423.82,23,"ECB reference rate (Frankfurter API), daily -> monthly avg"
2025-11,1459.86,20,"ECB reference rate (Frankfurter API), daily -> monthly avg"
2025-12,1466.82,21,"ECB reference rate (Frankfurter API), daily -> monthly avg"
2026-01,1457.21,21,"ECB reference rate (Frankfurter API), daily -> monthly avg"
2026-02,1448.23,20,"ECB reference rate (Frankfurter API), daily -> monthly avg"
2026-03,1490.88,22,"ECB reference rate (Frankfurter API), daily -> monthly avg"
2026-04,1481.35,20,"ECB reference rate (Frankfurter API), daily -> monthly avg"
2026-05,1490.92,20,"ECB reference rate (Frankfurter API), daily -> monthly avg"
2026-06,1526.05,5,"ECB reference rate (Frankfurter API), daily -> monthly avg"
